Date,Product,Units Sold,Price,Revenue
7/2/2026,Product_D,19,37.65,715.35
13/1/2026,Product_A,4,91.87,367.48
14/3/2026,Product_C,14,171.07,2394.98
10/1/2026,Product_C,1,38.88,38.88
17/3/2026,Product_B,15,101.99,1529.85
6/1/2026,Product_D,11,98.2,1080.2
21/3/2026,Product_C,8,95.91,767.28
6/3/2026,Product_C,12,182.04,2184.48
17/1/2026,Product_C,10,170.21,1702.1
2/1/2026,Product_D,4,41.98,167.92
18/3/2026,Product_B,8,108.76,870.08
13/3/2026,Product_B,9,139.36,1254.24
7/1/2026,Product_D,3,185.52,556.56
26/1/2026,Product_B,3,180.1,540.3
20/2/2026,Product_B,8,87.14,697.12
21/1/2026,Product_A,15,65.65,984.75
19/1/2026,Product_B,14,116,1624
26/3/2026,Product_B,2,73.46,146.92
12/1/2026,Product_A,19,153.61,2918.59
29/1/2026,Product_A,18,133.64,2405.52
30/1/2026,Product_C,12,46.5,558
15/1/2026,Product_B,13,68.34,888.42
20/2/2026,Product_D,13,110.02,1430.26
10/3/2026,Product_B,3,163.69,491.07
29/3/2026,Product_A,4,22.27,89.08
29/3/2026,Product_A,11,20.7,227.7
28/3/2026,Product_B,13,20.02,260.26
14/1/2026,Product_C,1,75.48,75.48
10/1/2026,Product_C,7,52.78,369.46
8/1/2026,Product_C,19,53.14,1009.66
5/3/2026,Product_A,2,93.31,186.62
3/3/2026,Product_C,10,143.54,1435.4
23/1/2026,Product_C,12,94.45,1133.4
27/2/2026,Product_A,2,24.3,48.6
2/1/2026,Product_A,10,29.21,292.1
1/1/2026,Product_A,18,83.21,1497.78
2/3/2026,Product_A,17,102.09,1735.53
23/3/2026,Product_B,14,122.49,1714.86
9/1/2026,Product_A,17,147.13,2501.21
30/3/2026,Product_B,1,32.55,32.55
14/1/2026,Product_C,7,36.51,255.57
17/2/2026,Product_A,8,90.05,720.4
14/3/2026,Product_C,6,152.6,915.6
31/1/2026,Product_D,16,103.43,1654.88
13/3/2026,Product_C,14,171.95,2407.3
4/1/2026,Product_A,17,14.57,247.69
12/3/2026,Product_D,2,27.17,54.34
22/1/2026,Product_D,19,36.78,698.82
19/2/2026,Product_C,5,193.7,968.5
27/2/2026,Product_B,1,116.58,116.58
4/1/2026,Product_D,9,76.76,690.84
10/3/2026,Product_B,13,158.35,2058.55
25/1/2026,Product_D,9,103.24,929.16
13/2/2026,Product_D,4,148.22,592.88
18/3/2026,Product_D,15,109.39,1640.85
27/1/2026,Product_C,4,150.96,603.84
22/2/2026,Product_C,19,107.68,2045.92
22/3/2026,Product_C,17,93.51,1589.67
11/2/2026,Product_D,4,72.49,289.96
24/3/2026,Product_B,2,26.5,53
16/1/2026,Product_B,1,191.86,191.86
6/3/2026,Product_C,11,51.6,567.6
10/3/2026,Product_C,19,60.99,1158.81
26/1/2026,Product_C,3,199.99,599.97
29/3/2026,Product_A,16,137.62,2201.92
8/1/2026,Product_C,7,177.49,1242.43
27/1/2026,Product_B,12,30.82,369.84
26/1/2026,Product_B,8,13.46,107.68
23/1/2026,Product_B,2,59.56,119.12
10/1/2026,Product_B,1,157.87,157.87
9/3/2026,Product_A,14,63.84,893.76
24/1/2026,Product_A,18,108.55,1953.9
28/1/2026,Product_A,19,182.62,3469.78
7/2/2026,Product_C,13,156.12,2029.56
27/2/2026,Product_D,8,179.6,1436.8
25/3/2026,Product_C,4,42.46,169.84
8/2/2026,Product_D,16,125.64,2010.24
9/1/2026,Product_D,6,74.03,444.18
2/2/2026,Product_A,4,71.45,285.8
4/2/2026,Product_B,9,10.21,91.89
11/1/2026,Product_C,9,22.6,203.4
24/1/2026,Product_A,12,80.17,962.04
16/1/2026,Product_C,12,144.33,1731.96
29/3/2026,Product_B,13,43.63,567.19
26/1/2026,Product_A,9,178.64,1607.76
13/3/2026,Product_C,5,171.74,858.7
16/3/2026,Product_A,18,105.11,1891.98
4/3/2026,Product_D,6,161.74,970.44
16/2/2026,Product_D,16,81.42,1302.72
2/2/2026,Product_A,7,141.98,993.86
30/3/2026,Product_D,1,184.43,184.43
24/1/2026,Product_D,10,53.93,539.3
25/2/2026,Product_A,9,68.07,612.63
7/3/2026,Product_B,3,110.81,332.43
19/3/2026,Product_C,19,156.4,2971.6
4/1/2026,Product_D,4,74.72,298.88
1/1/2026,Product_C,6,59.45,356.7
19/3/2026,Product_A,19,97.4,1850.6
7/1/2026,Product_A,15,198.75,2981.25
22/2/2026,Product_A,16,119.6,1913.6
