ID,Name,OrderDate,Amount
1,Customer_1,2026-02-14,809.81
2,Customer_2,2026-02-17,123.11
3,Customer_3,2026-03-06,542.89
4,Customer_4,2026-03-09,341.47
5,Customer_5,2026-03-09,598.67
6,Customer_6,2026-01-10,961.46
7,Customer_7,2026-03-25,663.29
8,Customer_8,2026-01-22,83.59
9,Customer_9,2026-02-06,458.88
10,Customer_10,2026-03-29,534.52
11,Customer_11,2026-03-12,559.37
12,Customer_12,2026-03-30,697.32
13,Customer_13,2026-03-30,313.72
14,Customer_14,2026-01-13,172.42
15,Customer_15,2026-02-28,423.04
16,Customer_16,2026-03-07,958.59
17,Customer_17,2026-02-09,227.77
18,Customer_18,2026-03-29,908.78
19,Customer_19,2026-02-16,566.62
20,Customer_20,2026-03-30,484.07
21,Customer_21,2026-03-23,887.94
22,Customer_22,2026-02-07,485.67
23,Customer_23,2026-01-26,737.96
24,Customer_24,2026-03-19,429.07
25,Customer_25,2026-03-14,908.84
26,Customer_26,2026-01-10,705.52
27,Customer_27,2026-01-21,714.64
28,Customer_28,2026-03-22,361.33
29,Customer_29,2026-03-11,768.94
30,Customer_30,2026-03-21,654.26
31,Customer_31,2026-02-17,278.02
32,Customer_32,2026-03-06,202.51
33,Customer_33,2026-03-24,806.57
34,Customer_34,2026-03-30,961.21
35,Customer_35,2026-02-19,485.23
36,Customer_36,2026-01-30,611.43
37,Customer_37,2026-01-20,864.84
38,Customer_38,2026-01-20,484.36
39,Customer_39,2026-01-15,954.28
40,Customer_40,2026-02-09,596.96
41,Customer_41,2026-02-02,829.73
42,Customer_42,2026-03-07,913.4
43,Customer_43,2026-01-10,824.75
44,Customer_44,2026-02-27,201.44
45,Customer_45,2026-02-02,647.45
46,Customer_46,2026-02-01,428.51
47,Customer_47,2026-03-16,109.58
48,Customer_48,2026-01-24,452.83
49,Customer_49,2026-02-05,295.75
50,Customer_50,2026-03-17,856.59
51,Customer_51,2026-02-25,81.64
52,Customer_52,2026-01-29,961.03
53,Customer_53,2026-02-04,387.6
54,Customer_54,2026-01-01,388.87
55,Customer_55,2026-01-01,65.51
56,Customer_56,2026-02-06,225.97
57,Customer_57,2026-02-23,431.2
58,Customer_58,2026-01-06,932.83
59,Customer_59,2026-02-08,144.63
60,Customer_60,2026-01-18,948.04
61,Customer_61,2026-03-21,876.01
62,Customer_62,2026-01-05,481.45
